#       r             R(r)          X(r)=rR(r)          e
  2.240845e-01   2.023961e+00   4.535382e-01  -4.000000e+02
  2.263365e-01   1.934821e+00   4.379207e-01  -4.000000e+02
  2.286113e-01   1.848770e+00   4.226496e-01  -4.000000e+02
  2.309088e-01   1.765738e+00   4.077245e-01  -4.000000e+02
  2.332295e-01   1.685657e+00   3.931449e-01  -4.000000e+02
  2.355735e-01   1.608457e+00   3.789099e-01  -4.000000e+02
  2.379411e-01   1.534070e+00   3.650182e-01  -4.000000e+02
  2.403324e-01   1.462427e+00   3.514686e-01  -4.000000e+02
  2.427478e-01   1.393460e+00   3.382593e-01  -4.000000e+02
  2.451874e-01   1.327101e+00   3.253884e-01  -4.000000e+02
  2.476516e-01   1.263282e+00   3.128539e-01  -4.000000e+02
  2.501406e-01   1.201937e+00   3.006532e-01  -4.000000e+02
  2.526545e-01   1.142999e+00   2.887838e-01  -4.000000e+02
  2.551937e-01   1.086402e+00   2.772429e-01  -4.000000e+02
  2.577585e-01   1.032080e+00   2.660273e-01  -4.000000e+02
  2.603490e-01   9.799691e-01   2.551340e-01  -4.000000e+02
  2.629655e-01   9.300051e-01   2.445593e-01  -4.000000e+02
  2.656084e-01   8.821244e-01   2.342996e-01  -4.000000e+02
  2.682778e-01   8.362645e-01   2.243512e-01  -4.000000e+02
  2.709740e-01   7.923634e-01   2.147099e-01  -4.000000e+02
  2.736974e-01   7.503603e-01   2.053716e-01  -4.000000e+02
  2.764481e-01   7.101949e-01   1.963320e-01  -4.000000e+02
  2.792264e-01   6.718079e-01   1.875865e-01  -4.000000e+02
  2.820327e-01   6.351410e-01   1.791305e-01  -4.000000e+02
  2.848672e-01   6.001367e-01   1.709592e-01  -4.000000e+02
  2.877301e-01   5.667386e-01   1.630678e-01  -4.000000e+02
  2.906219e-01   5.348913e-01   1.554511e-01  -4.000000e+02
  2.935427e-01   5.045402e-01   1.481041e-01  -4.000000e+02
  2.964928e-01   4.756320e-01   1.410215e-01  -4.000000e+02
  2.994726e-01   4.481143e-01   1.341980e-01  -4.000000e+02
  3.024824e-01   4.219359e-01   1.276282e-01  -4.000000e+02
  3.055224e-01   3.970465e-01   1.213066e-01  -4.000000e+02
  3.085929e-01   3.733971e-01   1.152277e-01  -4.000000e+02
  3.116943e-01   3.509396e-01   1.093859e-01  -4.000000e+02
  3.148269e-01   3.296273e-01   1.037755e-01  -4.000000e+02
  3.179910e-01   3.094144e-01   9.839097e-02  -4.000000e+02
